avg_q_to_ctx_similarity,max_q_to_ctx_similarity,avg_gt_to_ctx_similarity,max_gt_to_ctx_similarity,retrieval_diversity,avg_bm25_score,max_bm25_score,ndcg@k,context_relevance,context_coverage,semantic_similarity,answer_question_relevance,rouge1_f,rouge2_f,rougeL_f,bert_score_precision,bert_score_recall,bert_score_f1,answer_length,length_ratio,key_term_coverage,faithfulness_score,min_sentence_support,unsupported_sentences,is_relevant,should_answer,correct_abstention,incorrect_abstention,hallucination,question,category,generated_answer
0.725834588209788,0.7412714958190918,0.6913237770398458,0.7751433253288269,0.2916871905326843,0.08716875310453596,0.09056511419520534,0.991721641868488,1.0,0.7751433253288269,0.7889784574508667,0.8206593990325928,0.1372549019607843,0.04590163934426229,0.08169934640522876,0.8845251202583313,0.7517129182815552,0.8127288222312927,52,0.09012131715771231,0.38,0.47789176056782406,0.03527858853340149,2,1,1,0,0,0,What causes Hypothyroidism ?,Endocrine/Metabolic,"Hypothyroidism occurs when the thyroid gland does not produce enough hormones. Common causes include:

- Autoimmune diseases, including Hashimoto's thyroiditis.
- An infection.
- Certain types of cancer.

These conditions can lead to low levels of thyroid hormone, which then triggers hypothyroidism. Additionally, some medications, such as Lithium, can also cause hypothyroidism."
0.5677494208017985,0.5810369253158569,0.6339273254076639,0.6645737886428833,0.2654995719591776,0.8980562339342676,1.9768544130480743,0.977627898289332,1.0,0.6645737886428833,0.741993248462677,0.8114455342292786,0.2096069868995633,0.035242290748898675,0.148471615720524,0.8727601766586304,0.8333161473274231,0.8525821566581726,74,0.46835443037974683,0.2564102564102564,0.5071545392274857,0.24876737594604492,1,1,1,0,0,0,what research (or clinical trials) is being done for Osteoporosis ?,Musculoskeletal,"There are ongoing research studies investigating various treatment options for osteoporosis, including medications, physical therapy, and lifestyle modifications. Some of these studies focus on improving bone density through exercise programs, dietary changes, or hormone replacement therapies. Additionally, there are clinical trials exploring newer treatments like gene therapies and personalized medicine approaches tailored to individual patients' needs. It's important to consult with a healthcare provider for more detailed information about ongoing research studies for osteoporosis."
0.6562066674232483,0.6874492764472961,0.636911153793335,0.7139025926589966,0.2563233176867167,0.5736120930970275,1.3965627205833835,1.0,1.0,0.7139025926589966,0.5517055988311768,0.6287509799003601,0.04934210526315789,0.013201320132013201,0.03289473684210526,0.8595855236053467,0.6876806020736694,0.7640835642814636,21,0.03626943005181347,0.1,0.6138512194156647,0.594870924949646,0,1,1,0,0,0,Who is at risk for Lung Cancer? ?,Respiratory,People who smoke heavily for many years are at increased risk of lung cancer. Quitting smoking can decrease this risk significantly.
0.6207570632298788,0.6596571207046509,0.5205092032750448,0.5883201360702515,0.2825779318809509,0.5497384997890385,1.3768865713021379,0.9528960275545029,0.3333333333333333,0.5883201360702515,0.44520747661590576,0.7186806201934814,0.22888283378746596,0.04383561643835617,0.13079019073569484,0.8370755314826965,0.8130068778991699,0.8248657584190369,120,0.49382716049382713,0.29411764705882354,0.3729965289433797,0.20454564690589905,5,1,1,0,0,0,What is (are) Urinary Tract Infections in Children ?,Kidney/Renal,"Urinary Tract Infections (UTIs) in children are infections that affect the urinary system, specifically the kidneys, ureters, bladder, and lower part of the urethra. They occur due to various factors such as inadequate hygiene, improper diet, and poor lifestyle choices. Common symptoms include frequent urination, pain during urination, blood in urine, fever, chills, and fatigue. 

Children may experience UTIs more frequently than adults because their immune systems are not fully developed. This vulnerability increases when they are young, especially those under 2 years old who have a high rate of exposure to contaminated water sources and breast milk. Additionally, children often have a greater tolerance to antibiotics compared to adults, which can lead to antibiotic-resistant strains of bacteria over time."
0.6356390515963236,0.6527897715568542,0.5608569383621216,0.5983685255050659,0.23733411232630408,0.09797735170743954,0.11064184687270864,0.9954116939951342,1.0,0.5983685255050659,0.7746835947036743,0.7365905046463013,0.19230769230769232,0.06423982869379015,0.10256410256410256,0.8476783037185669,0.7360814213752747,0.7879480719566345,148,0.19397116644823068,0.48,0.17739417254924775,-0.1944267600774765,8,1,1,0,0,0,How to diagnose Pulmonary Embolism ?,Cardiovascular,"To diagnose pulmonary embolism, healthcare providers typically perform the following steps:

1. History and physical examination: A thorough assessment is conducted by a healthcare provider to determine if the patient has any risk factors for developing a pulmonary embolism, such as prolonged sitting, smoking, obesity, or long-distance travel.
2. Medical history review: The provider reviews the patient’s medical history, including any previous pulmonary embolism episodes, prior treatments, medications, and current health status.
3. Blood tests: These may include laboratory tests like complete blood count (CBC), D-dimer test, and coagulation tests to check the levels of specific substances in the blood.
4. Imaging studies: Chest X-ray (CT scan) and/or computed tomography angiography (CTA) scans are performed to visualize the structure and function of the blood vessels in the chest and lungs, especially in areas near the lungs where a pulmonary embolism might occur.
5. Biopsy: If imaging is incon"
0.6400507291158041,0.6710646152496338,0.5743986765543619,0.6249518394470215,0.20284463961919152,0.2666942348042452,0.6147911916771109,0.9944542777199851,1.0,0.6249518394470215,0.5173805952072144,0.8234174251556396,0.1095890410958904,0.056338028169014086,0.1095890410958904,0.8646172285079956,0.8130911588668823,0.8380630016326904,4,0.057971014492753624,0.09523809523809523,0.5666136741638184,0.5666136741638184,0,1,1,0,0,0,What is (are) Lung Cancer ?,Respiratory,"(Lung Cancer)
(Lung Cancer)"
0.6664816935857137,0.7125959992408752,0.4655100603898366,0.5033429861068726,0.2846148808797201,0.3799375587982953,0.9016676393469241,0.9555388989166496,0.3333333333333333,0.5033429861068726,0.45766201615333557,0.6015373468399048,0.12112676056338029,0.02542372881355932,0.07042253521126761,0.8289045691490173,0.7860430479049683,0.8069050908088684,77,0.12222222222222222,0.21739130434782608,0.4283812940120697,0.29438352584838867,3,1,1,0,0,0,What is (are) Kidney Disease ?,Kidney/Renal,"Chronic Kidney Disease (CKD) and Acute Kidney Injury (AKI) are both conditions characterized by impairment of kidney function. CKD refers to a gradual decline in kidney function over time, typically lasting more than six months. AKI, on the other hand, occurs suddenly and is defined by acute kidney injury. This can be due to factors like viral infection, toxins, or immune system disorders. Both conditions require timely treatment to prevent further renal damage and improve patient outcomes."
0.4113733172416687,0.46056243777275085,0.43522416551907855,0.5162665843963623,0.5036119023958843,0.2542563755885512,0.6391416090395615,0.9873326351863237,0.3333333333333333,0.5162665843963623,0.8203719854354858,0.8515411615371704,0.3629032258064516,0.1138211382113821,0.22580645161290322,0.8600084185600281,0.8618408441543579,0.8609236478805542,86,0.5375,0.34285714285714286,0.46426553279161453,0.380073606967926,3,0,1,0,0,1,Is Breast Cancer inherited ?,Unrelated,"Yes, breast cancer is often inherited. It can be influenced by genetic factors, particularly in hereditary conditions such as Lynch syndrome (familial adenomatous polyposis), Gardner's Syndrome (multiple endocrine neoplasm type I), and familial breast and ovarian cancer syndrome (breast cancer, ovarian cancer). Additionally, certain mutations in BRCA1 or BRCA2 genes can increase the risk of developing breast cancer. If you're concerned about your family history of breast cancer, discussing this with a healthcare provider can help determine if testing for these genetic mutations may be beneficial."
0.6614491740862528,0.6645492315292358,0.537771056095759,0.7171934247016907,0.3187355001767477,0.214238335284341,0.5112312455138004,0.8649660755546942,0.3333333333333333,0.7171934247016907,0.463730126619339,0.714398205280304,0.19867549668874174,0.013422818791946308,0.11920529801324505,0.8482020497322083,0.7446918487548828,0.7930837869644165,45,0.42452830188679247,0.13513513513513514,0.5510558287302653,0.493265300989151,2,1,1,0,0,0,What is (are) Gallstones ?,Gastrointestinal,"Gallstones are hardened deposits of digestive fluid that can form in your gallbladder. The gallbladder is a small, pear-shaped organ on the right side of your abdomen, just beneath your liver. The gallbladder holds a digestive fluid called bile that's released into your small intestine."
0.5094505051771799,0.5783278942108154,0.48147571086883545,0.7142074108123779,0.5423373381296794,0.12336739703469475,0.2240379366701064,0.9905220072276852,0.3333333333333333,0.7142074108123779,0.8659055233001709,0.7287073135375977,0.4602510460251046,0.11814345991561181,0.23430962343096234,0.8616641759872437,0.8893061876296997,0.875266969203949,137,1.4123711340206186,0.48,0.5063320944706599,0.36564454436302185,3,1,1,0,0,0,What is (are) Wilson Disease ?,Endocrine/Metabolic,"Wilson's disease is a genetic disorder that affects the way the liver processes copper. It occurs when the body produces too much copper and does not remove enough of it from the bloodstream. This buildup of copper can lead to damage to organs such as the brain, heart, and kidneys, causing a variety of symptoms including neurological problems, liver damage, and kidney failure. The exact cause of Wilson's disease is still not fully understood, but it is thought to be related to a mutation in a gene called cystathionine beta-synthase (CBS). In people with Wilson's disease, there is a lack of enzyme activity that breaks down a substance called homocysteine into cysteine, leading to increased levels of copper in the blood. This can also affect other organs like the skin, hair, nails, bones, and the liver itself."
